ns3:row,ID,Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,IDStrada01,Strada1,Chilometrica,NaturaIncidente,ParticolaritaStrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,CONFERMATO,IDStrada02,Strada2,DaSpecificare
,5798028,12,2022-01-28T08:30:00,Comunale extraurbana,da specificare,8927,VIA DI PORTA MEDAGLIA,,Scontro frontale fra veicoli in marcia,Curva senza visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,1,12.528420000000001,41.75676,True,,,1.5 km dopo via di T. S. Anastasia dir. Laurentina
,5798017,15,2022-01-28T09:00:00,Strada Urbana,in corrispondenza,8713,VIA DELLA PISANA,399,Tamponamento Multiplo,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,0,0,0,3,12.40916,41.86542,True,,,
,5797936,9,2022-01-28T09:05:00,Strada Urbana,in prossimità,5031,VIA GINO CAPPONI,142,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,0,0,0,1,12.51826,41.87368,True,,,
,5798268,1,2022-01-28T09:25:00,Strada Urbana,da specificare,10369,VIA DEL TEATRO DI MARCELLO,,Scontro laterale fra veicoli in marcia,Rotatoria,Una carreggiata a senso unico di marcia,Asciutto,In cubetti di porfido,Orizzontale,Nuvoloso,Normale,Buona,0,0,0,2,12.48204,41.894930000000002,True,,,altezza fermata ATAC
,5804899,3,2022-01-28T10:05:00,Strada Urbana,da specificare,5973,VIALE IPPOCRATE,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,0,0,0,1,12.519220000000001,41.908119999999997,True,,,fronte civico 160
,5801220,16,2022-01-28T10:20:00,Strada Urbana,all'intersezione con,4413,VIA FRANCESCO BENAGLIA,,Tamponamento,Incrocio,Due carreggiate,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,0,0,0,3,12.466659999999999,41.878410000000002,True,5981,VIA IPPOLITO NIEVO,
,5799141,10,2022-01-28T10:30:00,Strada Urbana,in prossimità,13089,VIA EMANUELE CARNEVALE,75,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,0,12.6036,41.84975,True,,,
,5801060,4,2022-01-28T10:30:00,Strada Urbana,in corrispondenza,6029,VIA DELLE ISOLE CURZOLANE,20,Veicolo in marcia contro veicolo arresto,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,3,12.534409999999999,41.948259999999998,True,,,
,5798928,20,2022-01-28T10:30:00,Strada Urbana,in corrispondenza,5684,VIA DELLA GIUSTINIANA,219,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,0,0,0,1,12.48054,42.005299999999998,True,,,
,5798884,8,2022-01-28T11:00:00,Strada Urbana,in prossimità,2403,VIA CASILINA,1835,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,1,0,0,1,12.686019999999999,41.862969999999997,True,,,
