id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni
396356,Guest House o Affittacamere,A-ROME SUITE GUEST HOUSE O AFFITTACAMERE,Via Merulana,259,41.8955195,12.4997934,,2.0,4.0,2.0,,2.0,,,
395820,Guest House o Affittacamere,A STAR INN,Via delle Quattro Fontane,15,41.9024226,12.4901624,,3.0,12.0,6.0,1.0,4.0,1.0,,
395220,Guest House o Affittacamere,A TRASTEVERE DA ME,Piazza Sidney Sonnino,25,41.8889502,12.4743798,,3.0,8.0,4.0,,4.0,,,
397618,Guest House o Affittacamere,A WORLD APARTS   68 BARBERINI Guest House o Affittacamere,Via Barberini,68,41.9046097,12.4923976,,2.0,11.0,5.0,,4.0,1.0,,
395595,Guest House o Affittacamere,AB HOUSE,Via Solferino,9,41.903514,12.5015055,,2.0,13.0,3.0,,,,2.0,
394851,Guest House o Affittacamere,Abagnale Home Montecitorio Guest House o Affittacamere,Via In Lucina,10,41.9026984,12.4782941,,2.0,5.0,3.0,1.0,2.0,,,
397020,Guest House o Affittacamere,ABID'S PALACE IN TERMINI Guest House o Affittacamere/Guest House o Affittacamere  ABID'S PALACE IN TERMINI,Via Napoleone III,29,41.8968915,12.5015913,,3.0,12.0,4.0,,1.0,2.0,1.0,
396411,Guest House o Affittacamere,Acanto Room Deluxe guest house o affittacamere,Via Marco Valerio Corvo,137,41.8562586,12.5608035,,3.0,12.0,6.0,,6.0,,,
395040,Guest House o Affittacamere,ACCOMODATION ROOMS GUEST HOUSE O AFFITTACAMERE,Via degli Scipioni,239,41.9105512,12.4656678,,2.0,8.0,5.0,2.0,3.0,,,
396493,Guest House o Affittacamere,AD HOC DOMUS,Via Emanuele Filiberto,233,41.8889572,12.5071675,,3.0,10.0,5.0,1.0,3.0,1.0,,
397571,Guest House o Affittacamere,AD Trastevere Guest House o Affittacamere,Viale di Trastevere,118,41.8824807,12.4682546,,3.0,6.0,3.0,,3.0,,,
395971,Guest House o Affittacamere,ADELAIDE SUITE DREAMS GUEST HOUSE O AFFITTACAMERE,Via Maria Adelaide,12,41.9107396,12.4742006,,2.0,15.0,6.0,,4.0,1.0,1.0,
396388,Guest House o Affittacamere,ADORA SUITE 2 guest house o affittacamere,Via Filippo Turati,28,41.8988937,12.5014903,,3.0,11.0,5.0,1.0,2.0,2.0,,
397280,Guest House o Affittacamere,ADORA SUITES guest house o affittacamere,Via Filippo Turati,28,41.8988937,12.5014903,,3.0,9.0,5.0,1.0,4.0,,,
404098,Guest House o Affittacamere, ADRIANA5 LUXURY ROOMS -GUEST HOUSE O AFFITTACAMERE,Piazza Adriana,5,41.9048344,12.4679969,,3.0,4.0,2.0,,2.0,,,
395041,Guest House o Affittacamere,ADVENTOR ECO SUITES GUEST HOUSE O AFFITTACAMERE,Via Castelfidardo,51,41.9054311,12.5019912,,2.0,11.0,5.0,,4.0,1.0,,
397264,Guest House o Affittacamere,AELIUS,Via Volturno,7,41.9049742,12.4989712,,3.0,11.0,6.0,1.0,5.0,,,
397143,Guest House o Affittacamere,AENEA INN,Via Urbana,156,41.8980036,12.4953675,,3.0,12.0,6.0,2.0,2.0,2.0,,
396879,Guest House o Affittacamere,AETERNO,Via Appia Nuova,165,41.8810374,12.5154153,,3.0,7.0,4.0,1.0,3.0,,,
395347,Guest House o Affittacamere,AFFITTA CAMERE LES ARTES,Via Milazzo,23,41.9024118,12.5052691,,3.0,5.0,4.0,3.0,1.0,,,
397428,Guest House o Affittacamere,AFFITTACAMERE A.D.,Viale Opita Oppio,76,41.8608598,12.5499391,,2.0,11.0,6.0,1.0,5.0,,,
397271,Guest House o Affittacamere,AFFITTACAMERE A HOME IN ROME DI BAGHERPOUR ABDOLSAID,Via Carlo Alberto,53,41.8956633,12.5021051,,2.0,8.0,4.0,,4.0,,,
396624,Guest House o Affittacamere,AFFITTACAMERE AD 2015,Viale dei Bastioni di Michelangelo,5 A,41.9064023,12.4563646,,2.0,11.0,4.0,,2.0,1.0,1.0,
396925,Guest House o Affittacamere,AFFITTACAMERE ANTICA DIMORA CONTESSA ARRIVABENE,Viale Tito Livio,28,41.9155901,12.4446408,,3.0,24.0,6.0,,1.0,1.0,1.0,
395324,Guest House o Affittacamere,AFFITTACAMERE BELLI 36ROOMS,Via Giuseppe Gioachino Belli,36,41.9074044,12.4717146,,1.0,12.0,5.0,,4.0,,1.0,
395792,Guest House o Affittacamere,AFFITTACAMERE CAMPUS TRIGORIA S.R.L.,Via Italo Torsiello,18,41.7690539,12.4774034,,2.0,8.0,6.0,4.0,2.0,,,
396659,Guest House o Affittacamere,AFFITTACAMERE CASTRO PRETORIO,Via San Martino della Battaglia,15,41.9055161,12.5048211,,2.0,8.0,5.0,2.0,3.0,,,
396767,Guest House o Affittacamere,AFFITTACAMERE CENTRO CAVOUR,Via Cavour,233,41.8943718,12.4915565,,3.0,13.0,6.0,1.0,3.0,2.0,,
397284,Guest House o Affittacamere,AFFITTACAMERE COLLATINA SUITES,Via Collatina,439 A,41.9053065,12.6092822,,3.0,16.0,5.0,,1.0,2.0,2.0,
396782,Guest House o Affittacamere,AFFITTACAMERE D'ARTAGNAN,Vicolo Sciarra,61,41.8994451,12.481393,,2.0,10.0,4.0,,3.0,,1.0,
397651,Guest House o Affittacamere,AFFITTACAMERE DA VINCI RELAIS,Via Gregorio VII,224,41.896662,12.4417827,,3.0,12.0,6.0,1.0,4.0,1.0,,
397939,Guest House o Affittacamere,affittacamere DEFALCO FRANCESCO,Via di Tor Millina,35,41.8991399,12.4713339,,2.0,7.0,3.0,,2.0,1.0,,
395628,Guest House o Affittacamere,AFFITTACAMERE FLAVIA,Via Salvatore Gasbarra,32,41.7759476,12.3356411,,3.0,11.0,5.0,1.0,2.0,2.0,,
395584,Guest House o Affittacamere,AFFITTACAMERE FRIEND SHIP PALACE,Via Milazzo,14,41.9019355,12.5041727,,3.0,18.0,6.0,,,6.0,,
396213,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOSUE ECCE ROMA,Via Daniele Manin,69,41.898967,12.498988,,3.0,15.0,6.0,,4.0,1.0,1.0,
395935,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOSUE ITALY,Via Palestro,49,41.9047618,12.5042162,,3.0,6.0,3.0,,3.0,,,
394893,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOSUE LA PICCOLA MAISON,Via dei Cappuccini,30,41.9045447,12.4879727,,3.0,8.0,5.0,2.0,3.0,,,
396344,Guest House o Affittacamere,affittacamere guest house Borgo Pio Suites Inn,Vicolo del Farinone,30,41.9033769,12.4594148,,2.0,11.0,5.0,,4.0,1.0,,
394886,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE DOMUS BOCCA DI LEONE,Via Bocca di Leone,36,41.9060357,12.4799672,,2.0,8.0,4.0,1.0,2.0,1.0,,
394941,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE GANDINI MARIA,Piazza Manfredo Fanti,5,41.8983321,12.5028608,,3.0,13.0,6.0,,5.0,1.0,,
397649,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE LANDLORD IN TRASTEVERE,Via Emilio Morosini,10,41.885867,12.4688927,,3.0,8.0,4.0,,4.0,,,
397298,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE O AFFITTACAMERE BARCACCIA LUXURY SUITES,Via delle Carrozze,12,41.9057403,12.4795536,,3.0,7.0,4.0,1.0,3.0,,,
396831,Guest House o Affittacamere,Affittacamere/Guest House o affittacamere Cineroma,Via Nomentana,316,41.9310002,12.5278086,,3.0,11.0,6.0,1.0,5.0,,,
395447,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE RELAIS BOCCA DI LEONE,Via Bocca di Leone,36,41.9060357,12.4799672,,2.0,9.0,4.0,,3.0,1.0,,
395873,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE SUITE CONDOTTI,Via dei Condotti,48,41.904802,12.4793832,,3.0,9.0,4.0,,3.0,1.0,,
394936,Guest House o Affittacamere,AFFITTACAMERE/GUEST HOUSE THE JEWEL,Via dei Condotti,85,41.9056089,12.4815173,,3.0,12.0,6.0,,6.0,,,
395106,Guest House o Affittacamere,AFFITTACAMERE GUEST HOUSE TORRE COLONNA,Via delle Tre Cannelle,18,41.8964737,12.4852773,,1.0,12.0,5.0,,3.0,2.0,,
